county,state,cases,deaths,2020 population
Somerset,New Jersey,12688,664.0,345014
Sussex,New Jersey,4478,215.0,144082
Union,New Jersey,36683,1556.0,574349
Unknown,New Jersey,1057,0.0,
Warren,New Jersey,3935,183.0,109595
Bernalillo,New Mexico,40808,569.0,676581
Catron,New Mexico,55,3.0,3612
Chaves,New Mexico,7197,92.0,65168
Cibola,New Mexico,2781,73.0,27076
Colfax,New Mexico,665,24.0,12332
Curry,New Mexico,4041,45.0,48325
De Baca,New Mexico,97,0.0,1678
Doña Ana,New Mexico,17691,280.0,219899
Eddy,New Mexico,4544,70.0,62257
Grant,New Mexico,904,13.0,28209
Guadalupe,New Mexico,525,5.0,4447
Harding,New Mexico,8,0.0,660
Hidalgo,New Mexico,240,8.0,4149
Lea,New Mexico,6971,90.0,74586
Lincoln,New Mexico,1040,10.0,20296
Los Alamos,New Mexico,284,0.0,19424
Luna,New Mexico,2365,43.0,25420
McKinley,New Mexico,9807,341.0,72630
Mora,New Mexico,121,1.0,4184
Otero,New Mexico,3247,38.0,67861
Quay,New Mexico,332,7.0,8721
Rio Arriba,New Mexico,2285,42.0,40264
Roosevelt,New Mexico,1503,27.0,19118
San Juan,New Mexico,10155,296.0,121429
San Miguel,New Mexico,846,4.0,27115
Sandoval,New Mexico,8161,130.0,149218
Santa Fe,New Mexico,7529,75.0,154977
Sierra,New Mexico,532,35.0,11526
Socorro,New Mexico,954,42.0,16565
Taos,New Mexico,1152,39.0,34392
Torrance,New Mexico,524,4.0,15051
Union,New Mexico,354,7.0,4067
Valencia,New Mexico,5179,66.0,76329
Albany,New York,11585,202.0,314368
Allegany,New York,1831,72.0,46373
Broome,New York,8157,204.0,198199
Cattaraugus,New York,2498,42.0,76907
Cayuga,New York,2894,20.0,76095
Chautauqua,New York,3518,21.0,127424
Chemung,New York,4531,96.0,83882
Chenango,New York,1214,21.0,47073
Clinton,New York,1075,8.0,79715
Columbia,New York,1630,60.0,61550
Cortland,New York,2070,32.0,46723
Delaware,New York,707,10.0,44186
Dutchess,New York,12082,234.0,295742
Erie,New York,41252,1194.0,953254
Essex,New York,578,16.0,37336
Franklin,New York,761,9.0,47527
Fulton,New York,1285,36.0,53160
Genesee,New York,2681,51.0,58258
Greene,New York,1322,21.0,47890
Hamilton,New York,102,1.0,5078
Herkimer,New York,2138,24.0,60007
Jefferson,New York,1783,9.0,116134
Lewis,New York,910,13.0,26538
Livingston,New York,1863,24.0,61699
Madison,New York,2289,66.0,67890
Monroe,New York,33755,563.0,758554
Montgomery,New York,1307,43.0,49433
Nassau,New York,87904,2390.0,1393978
New York City,New York,430863,25144.0,
Niagara,New York,8444,176.0,212252
Oneida,New York,12111,248.0,231695
Onondaga,New York,21146,426.0,475653
Ontario,New York,3254,62.0,112475
Orange,New York,23372,510.0,401322
Orleans,New York,1359,62.0,40236
Oswego,New York,3425,36.0,117351
Otsego,New York,1205,16.0,58351
Putnam,New York,4831,67.0,97660
Rensselaer,New York,4269,81.0,160923
Rockland,New York,27510,585.0,338121
Saratoga,New York,5588,40.0,235689
Schenectady,New York,5913,83.0,157861
Schoharie,New York,554,5.0,29720
Schuyler,New York,526,10.0,17857
Seneca,New York,790,35.0,33715
St. Lawrence,New York,2084,42.0,108311
Steuben,New York,3406,120.0,93363
Suffolk,New York,96057,2299.0,1524099
Sullivan,New York,3106,40.0,78643
Tioga,New York,1679,54.0,48355
Tompkins,New York,2079,14.0,105404
Ulster,New York,5679,141.0,181687
Warren,New York,1156,32.0,65638
Washington,New York,825,15.0,61143
Wayne,New York,2559,36.0,91103
Westchester,New York,69660,1664.0,1003245
Wyoming,New York,1367,22.0,40401
Yates,New York,501,10.0,24709
Alamance,North Carolina,10397,117.0,171842
Alexander,North Carolina,2662,30.0,36430
Alleghany,North Carolina,638,2.0,10899
Anson,North Carolina,1407,26.0,22030
Ashe,North Carolina,1212,27.0,26569
Avery,North Carolina,1342,15.0,17798
Beaufort,North Carolina,2534,61.0,44618
Bertie,North Carolina,1204,27.0,17851
Bladen,North Carolina,1843,24.0,29599
Brunswick,North Carolina,4402,72.0,138084
Buncombe,North Carolina,9195,169.0,269621
Burke,North Carolina,6195,75.0,87546
Cabarrus,North Carolina,11161,146.0,227065
Caldwell,North Carolina,5842,28.0,80512
Camden,North Carolina,285,5.0,10398
Carteret,North Carolina,2723,17.0,67656
Caswell,North Carolina,1160,9.0,22694
Catawba,North Carolina,11101,158.0,160747
Chatham,North Carolina,2905,65.0,76611
Cherokee,North Carolina,1257,15.0,28833
Chowan,North Carolina,821,20.0,13666
Clay,North Carolina,368,5.0,11118
Cleveland,North Carolina,6675,139.0,99725
Columbus,North Carolina,3629,83.0,50505
Craven,North Carolina,5127,83.0,100552
Cumberland,North Carolina,13900,138.0,334370
Currituck,North Carolina,649,11.0,28385
Dare,North Carolina,1024,5.0,37001
Davidson,North Carolina,8700,85.0,169131
Davie,North Carolina,2112,13.0,42806
Duplin,North Carolina,4227,67.0,48675
Durham,North Carolina,15173,144.0,325602
Edgecombe,North Carolina,3227,81.0,48697
Forsyth,North Carolina,20643,221.0,382733
Franklin,North Carolina,3186,37.0,69060
Gaston,North Carolina,15513,239.0,228269
Gates,North Carolina,357,12.0,10452
Graham,North Carolina,395,11.0,8016
Granville,North Carolina,3570,63.0,61041
Greene,North Carolina,1534,27.0,20444
Guilford,North Carolina,24500,312.0,541347
Halifax,North Carolina,2899,49.0,48495
Harnett,North Carolina,5958,94.0,133761
Haywood,North Carolina,2136,61.0,62131
Henderson,North Carolina,5496,92.0,116493
Hertford,North Carolina,1349,48.0,21451
Hoke,North Carolina,2758,35.0,52223
Hyde,North Carolina,326,5.0,4549
Iredell,North Carolina,9369,101.0,187630
Jackson,North Carolina,2259,18.0,43134
Johnston,North Carolina,11881,112.0,217612
Jones,North Carolina,407,16.0,9156
Lee,North Carolina,3510,41.0,63387
Lenoir,North Carolina,3239,70.0,54995
Lincoln,North Carolina,5378,20.0,87190
Macon,North Carolina,1400,9.0,37049
Madison,North Carolina,797,19.0,21209
Martin,North Carolina,1328,25.0,21949
McDowell,North Carolina,3066,38.0,44536
Mecklenburg,North Carolina,63088,566.0,1118340
Mitchell,North Carolina,875,6.0,14881
Montgomery,North Carolina,1920,46.0,25720
Moore,North Carolina,4871,75.0,100168
Nash,North Carolina,6081,120.0,95027
New Hanover,North Carolina,9597,89.0,226060
Northampton,North Carolina,1052,27.0,17438
Onslow,North Carolina,8730,66.0,204735
Orange,North Carolina,5046,65.0,148792
Pamlico,North Carolina,528,5.0,12280
Pasquotank,North Carolina,1807,44.0,40645
Pender,North Carolina,2737,22.0,60563
Perquimans,North Carolina,533,5.0,12997
Person,North Carolina,1646,21.0,39146
Pitt,North Carolina,11454,69.0,170570
Polk,North Carolina,720,13.0,19372
Randolph,North Carolina,8048,123.0,144334
Richmond,North Carolina,2630,47.0,42879
Robeson,North Carolina,9840,137.0,116361
Rockingham,North Carolina,4432,25.0,91080
Rowan,North Carolina,9017,172.0,147027
Rutherford,North Carolina,4337,118.0,64421
Sampson,North Carolina,4912,61.0,59021
Scotland,North Carolina,2522,54.0,34110
Stanly,North Carolina,4331,78.0,62609
Stokes,North Carolina,2005,26.0,44517
Surry,North Carolina,4430,75.0,71253
Swain,North Carolina,692,8.0,14083
Transylvania,North Carolina,917,10.0,33009
Tyrrell,North Carolina,169,3.0,3232
Union,North Carolina,12505,98.0,239287
Vance,North Carolina,2679,68.0,42529
Wake,North Carolina,44203,344.0,1133553
Warren,North Carolina,1093,9.0,18598
Washington,North Carolina,444,10.0,10955
Watauga,North Carolina,2605,16.0,54072
Wayne,North Carolina,7422,145.0,117226
Wilkes,North Carolina,3877,72.0,65871
Wilson,North Carolina,5516,103.0,78811
Yadkin,North Carolina,2377,28.0,37182
Yancey,North Carolina,1031,5.0,18475
Adams,North Dakota,190,2.0,2188
Barnes,North Dakota,1242,26.0,10836
Benson,North Dakota,990,16.0,5953
Billings,North Dakota,49,0.0,931
Bottineau,North Dakota,610,20.0,6377
Bowman,North Dakota,305,4.0,2981
Burke,North Dakota,200,1.0,2189
Burleigh,North Dakota,13643,175.0,98467
Cass,North Dakota,19866,167.0,184868
Cavalier,North Dakota,408,4.0,3693
Dickey,North Dakota,688,32.0,4959
Divide,North Dakota,137,2.0,2198
Dunn,North Dakota,355,7.0,4103
Eddy,North Dakota,413,6.0,2333
Emmons,North Dakota,372,10.0,3282
Foster,North Dakota,525,19.0,3389
Golden Valley,North Dakota,200,0.0,1730
Grand Forks,North Dakota,9237,66.0,73062
Grant,North Dakota,172,7.0,2281
Griggs,North Dakota,298,2.0,2296
Hettinger,North Dakota,268,4.0,2474
Kidder,North Dakota,248,8.0,2384
LaMoure,North Dakota,469,16.0,4083
Logan,North Dakota,214,8.0,1885
McHenry,North Dakota,534,19.0,5322
McIntosh,North Dakota,312,7.0,2512
McKenzie,North Dakota,1029,11.0,14744
McLean,North Dakota,1126,27.0,9749
Mercer,North Dakota,1011,9.0,8330
Morton,North Dakota,4629,88.0,33333
Mountrail,North Dakota,1186,15.0,9765
Nelson,North Dakota,408,10.0,2989
Oliver,North Dakota,149,2.0,1866
Pembina,North Dakota,699,9.0,6827
Pierce,North Dakota,495,21.0,3968
Ramsey,North Dakota,1466,19.0,11555
Ransom,North Dakota,550,11.0,5703
Renville,North Dakota,276,12.0,2272
Richland,North Dakota,1545,15.0,16524
Rolette,North Dakota,1883,21.0,12162
Sargent,North Dakota,407,5.0,3842
Sheridan,North Dakota,97,2.0,1258
Sioux,North Dakota,604,10.0,3884
Slope,North Dakota,28,0.0,701
Stark,North Dakota,4060,47.0,33805
Steele,North Dakota,166,2.0,1797
Stutsman,North Dakota,3133,70.0,21529
Towner,North Dakota,273,10.0,2138
Traill,North Dakota,910,17.0,7974
Unknown,North Dakota,7,7.0,
Walsh,North Dakota,1626,21.0,10520
Ward,North Dakota,8439,173.0,69847
Wells,North Dakota,400,6.0,3955
Williams,North Dakota,3955,31.0,41149
Saipan,Northern Mariana Islands,120,2.0,
Tinian,Northern Mariana Islands,2,0.0,
Adams,Ohio,1367,14.0,27434
Allen,Ohio,8308,111.0,102059
Ashland,Ohio,2729,37.0,52420
Ashtabula,Ohio,3829,66.0,97413
Athens,Ohio,3101,9.0,62350
Auglaize,Ohio,3642,55.0,46411
Belmont,Ohio,3169,38.0,66235
Brown,Ohio,2367,12.0,43629
Butler,Ohio,25723,188.0,390600
Carroll,Ohio,1127,13.0,26689
Champaign,Ohio,1917,23.0,38705
Clark,Ohio,8988,186.0,135719
Clermont,Ohio,12046,76.0,208635
Clinton,Ohio,2355,39.0,41962
Columbiana,Ohio,6147,119.0,101607
Coshocton,Ohio,1703,17.0,36548
Crawford,Ohio,2616,61.0,41928
Cuyahoga,Ohio,70137,897.0,1261696
Darke,Ohio,4140,86.0,51882
Defiance,Ohio,2722,68.0,38227
Delaware,Ohio,11362,65.0,215062
Erie,Ohio,4912,107.0,75429
Fairfield,Ohio,10031,71.0,159357
Fayette,Ohio,1806,29.0,28939
Franklin,Ohio,84050,698.0,1324013
Fulton,Ohio,2744,38.0,42619
Gallia,Ohio,1668,23.0,29193
Geauga,Ohio,4022,53.0,95334
Greene,Ohio,9685,121.0,168025
Guernsey,Ohio,2019,22.0,38390
Hamilton,Ohio,51821,417.0,829909
Hancock,Ohio,4593,81.0,74830
Hardin,Ohio,1756,32.0,30725
Harrison,Ohio,692,3.0,14493
Henry,Ohio,1791,45.0,27629
Highland,Ohio,2103,18.0,43321
Hocking,Ohio,1381,22.0,27999
Holmes,Ohio,1963,62.0,44194
Huron,Ohio,3389,37.0,58439
Jackson,Ohio,2138,32.0,32642
Jefferson,Ohio,3395,53.0,65107
Knox,Ohio,2783,22.0,62765
Lake,Ohio,12756,120.0,232410
Lawrence,Ohio,3517,47.0,58132
Licking,Ohio,10528,120.0,178680
Logan,Ohio,2385,23.0,46065
Lorain,Ohio,14786,162.0,313367
Lucas,Ohio,25805,541.0,430728
Madison,Ohio,2926,25.0,43823
Mahoning,Ohio,14800,315.0,227948
Marion,Ohio,6733,105.0,65363
Medina,Ohio,9312,114.0,182550
Meigs,Ohio,844,14.0,22118
Mercer,Ohio,3911,82.0,42471
Miami,Ohio,7580,73.0,108821
Monroe,Ohio,735,24.0,13354
Montgomery,Ohio,35615,359.0,536629
Morgan,Ohio,644,26.0,13741
Morrow,Ohio,1834,4.0,34964
Muskingum,Ohio,5400,27.0,86342
Noble,Ohio,1008,32.0,14090
Ottawa,Ohio,2340,34.0,40260
Paulding,Ohio,1187,19.0,18804
Perry,Ohio,1847,15.0,35439
Pickaway,Ohio,6137,50.0,58628
Pike,Ohio,1406,5.0,27050
Portage,Ohio,7297,97.0,161775
Preble,Ohio,2719,31.0,40964
Putnam,Ohio,3266,67.0,34380
Richland,Ohio,7499,89.0,124840
Ross,Ohio,4439,87.0,76985
Sandusky,Ohio,3553,56.0,58832
Scioto,Ohio,4243,45.0,73720
Seneca,Ohio,3481,41.0,54990
Shelby,Ohio,3448,18.0,48119
Stark,Ohio,20468,326.0,374357
Summit,Ohio,28040,589.0,539530
Trumbull,Ohio,10843,264.0,201405
Tuscarawas,Ohio,6196,151.0,93063
Union,Ohio,3597,19.0,63077
Van Wert,Ohio,1711,37.0,28878
Vinton,Ohio,513,11.0,12784
Warren,Ohio,15752,121.0,243004
Washington,Ohio,2996,38.0,59613
Wayne,Ohio,5829,146.0,116840
Williams,Ohio,2290,48.0,37025
Wood,Ohio,8299,146.0,132212
Wyandot,Ohio,1628,33.0,21854
Adair,Oklahoma,1870,14.0,19415
Alfalfa,Oklahoma,932,4.0,5713
Atoka,Oklahoma,1307,3.0,14174
Beaver,Oklahoma,308,2.0,5012
Beckham,Oklahoma,1964,22.0,22302
Blaine,Oklahoma,660,3.0,8711
Bryan,Oklahoma,3980,32.0,46293
Caddo,Oklahoma,2785,39.0,26858
Canadian,Oklahoma,10582,52.0,155507
Carter,Oklahoma,2754,18.0,48003
Cherokee,Oklahoma,3671,17.0,47081
Choctaw,Oklahoma,1076,6.0,14196
Cimarron,Oklahoma,107,1.0,2290
Cleveland,Oklahoma,19231,163.0,296019
Coal,Oklahoma,478,4.0,5279
Comanche,Oklahoma,6994,60.0,121129
Cotton,Oklahoma,422,10.0,5543
Craig,Oklahoma,1457,7.0,14146
Creek,Oklahoma,4079,64.0,71776
Custer,Oklahoma,2981,31.0,28423
Delaware,Oklahoma,2915,44.0,40400
Dewey,Oklahoma,421,3.0,4466
Ellis,Oklahoma,309,1.0,3745
Garfield,Oklahoma,5394,43.0,62629
Garvin,Oklahoma,2306,18.0,25627
Grady,Oklahoma,3848,37.0,54805
Grant,Oklahoma,380,5.0,4168
Greer,Oklahoma,379,9.0,5488
Harmon,Oklahoma,201,0.0,2465
Harper,Oklahoma,345,3.0,3255
Haskell,Oklahoma,878,7.0,11549
Hughes,Oklahoma,828,9.0,13334
Jackson,Oklahoma,2336,37.0,24731
Jefferson,Oklahoma,436,3.0,5326
Johnston,Oklahoma,837,10.0,10222
Kay,Oklahoma,3312,33.0,43541
Kingfisher,Oklahoma,1357,12.0,15151
Kiowa,Oklahoma,544,11.0,8487
Latimer,Oklahoma,532,5.0,9461
Le Flore,Oklahoma,3590,30.0,48131
Lincoln,Oklahoma,2108,33.0,33469
Logan,Oklahoma,2547,8.0,49726
Love,Oklahoma,906,6.0,10143
Major,Oklahoma,716,4.0,7750
Marshall,Oklahoma,1123,6.0,15342
Mayes,Oklahoma,2565,24.0,39066
McClain,Oklahoma,3561,28.0,41887
McCurtain,Oklahoma,2937,52.0,30786
McIntosh,Oklahoma,1326,18.0,18946
Murray,Oklahoma,1164,9.0,13869
Muskogee,Oklahoma,6526,48.0,66160
Noble,Oklahoma,984,7.0,10900
Nowata,Oklahoma,681,9.0,9296
Okfuskee,Oklahoma,1414,15.0,11238
Oklahoma,Oklahoma,57993,441.0,797296
Okmulgee,Oklahoma,2600,27.0,36679
Osage,Oklahoma,3016,26.0,45741
Ottawa,Oklahoma,2728,28.0,30209
Pawnee,Oklahoma,1065,12.0,15544
Payne,Oklahoma,5883,28.0,81592
Pittsburg,Oklahoma,3010,23.0,43727
Pontotoc,Oklahoma,3135,25.0,38077
Pottawatomie,Oklahoma,5552,37.0,72441
Pushmataha,Oklahoma,625,6.0,10797
Roger Mills,Oklahoma,253,6.0,3427
Rogers,Oklahoma,6566,85.0,95315
Seminole,Oklahoma,1820,18.0,23508
Sequoyah,Oklahoma,2479,16.0,39255
Stephens,Oklahoma,3029,23.0,42753
Texas,Oklahoma,2956,17.0,21283
Tillman,Oklahoma,544,9.0,6956
Tulsa,Oklahoma,48124,399.0,670157
Unknown,Oklahoma,236,0.0,
Wagoner,Oklahoma,4650,46.0,81377
Washington,Oklahoma,3129,60.0,52593
Washita,Oklahoma,757,3.0,10903
Woods,Oklahoma,981,5.0,8587
Woodward,Oklahoma,2461,10.0,20385
Baker,Oregon,472,5.0,16689
Benton,Oregon,1347,11.0,95167
Clackamas,Oregon,10058,114.0,422160
Clatsop,Oregon,553,3.0,41089
Columbia,Oregon,837,14.0,52631
Coos,Oregon,756,9.0,64887
Crook,Oregon,448,7.0,24923
Curry,Oregon,278,3.0,23503
Deschutes,Oregon,3976,22.0,199355
Douglas,Oregon,1387,39.0,111235
Gilliam,Oregon,37,1.0,2016
Grant,Oregon,170,1.0,7223
Harney,Oregon,134,2.0,7491
Hood River,Oregon,816,14.0,23943
Jackson,Oregon,5884,72.0,223394
Jefferson,Oregon,1425,17.0,24518
Josephine,Oregon,1193,22.0,88105
Klamath,Oregon,1910,18.0,69504
Lake,Oregon,197,4.0,8149
Lane,Oregon,6929,92.0,382940
Lincoln,Oregon,880,17.0,50472
Linn,Oregon,2650,32.0,128936
Malheur,Oregon,2914,50.0,31608
Marion,Oregon,13928,210.0,346202
Morrow,Oregon,815,8.0,12191
Multnomah,Oregon,25290,394.0,815871
Polk,Oregon,1977,30.0,87863
Sherman,Oregon,31,0.0,1872
Tillamook,Oregon,308,0.0,27471
Umatilla,Oregon,5640,57.0,80011
Union,Oregon,980,14.0,26149
Wallowa,Oregon,76,3.0,7387
Wasco,Oregon,905,22.0,26611
Washington,Oregon,16070,142.0,600689
Wheeler,Oregon,17,1.0,1457
Yamhill,Oregon,2641,35.0,107832
Adams,Pennsylvania,4557,88.0,103795
Allegheny,Pennsylvania,53809,1009.0,1248717
Armstrong,Pennsylvania,3465,69.0,65445
Beaver,Pennsylvania,8433,252.0,167732
Bedford,Pennsylvania,2956,94.0,47523
Berks,Pennsylvania,23439,565.0,428694
Blair,Pennsylvania,7886,175.0,122518
Bradford,Pennsylvania,3040,56.0,59858
Bucks,Pennsylvania,30537,904.0,646008
Butler,Pennsylvania,9361,194.0,193851
Cambria,Pennsylvania,8823,250.0,132957
Cameron,Pennsylvania,147,4.0,4519
Carbon,Pennsylvania,2780,90.0,64751
Centre,Pennsylvania,8977,139.0,157929
Chester,Pennsylvania,20457,512.0,534645
Clarion,Pennsylvania,2021,46.0,37178
Clearfield,Pennsylvania,4023,50.0,80394
Clinton,Pennsylvania,1942,24.0,37350
Columbia,Pennsylvania,2746,71.0,64667
Crawford,Pennsylvania,4859,84.0,83723
Cumberland,Pennsylvania,10456,299.0,259996
Dauphin,Pennsylvania,13859,314.0,286544
Delaware,Pennsylvania,29745,993.0,576388
Elk,Pennsylvania,1437,16.0,30927
Erie,Pennsylvania,11663,218.0,270427
Fayette,Pennsylvania,7247,113.0,128393
Forest,Pennsylvania,307,3.0,6952
Franklin,Pennsylvania,8699,225.0,155874
Fulton,Pennsylvania,710,10.0,14549
Greene,Pennsylvania,1690,15.0,35813
Huntingdon,Pennsylvania,3070,86.0,44030
Indiana,Pennsylvania,3950,123.0,83116
Jefferson,Pennsylvania,1888,43.0,44431
Juniata,Pennsylvania,1351,48.0,23451
Lackawanna,Pennsylvania,8812,268.0,215516
Lancaster,Pennsylvania,28006,731.0,552597
Lawrence,Pennsylvania,4245,126.0,85865
Lebanon,Pennsylvania,8851,156.0,143242
Lehigh,Pennsylvania,20348,503.0,374504
Luzerne,Pennsylvania,17317,463.0,325057
Lycoming,Pennsylvania,6014,121.0,113980
McKean,Pennsylvania,1679,21.0,40306
Mercer,Pennsylvania,5975,142.0,110333
Mifflin,Pennsylvania,3418,119.0,46073
Monroe,Pennsylvania,6103,200.0,168248
Montgomery,Pennsylvania,36131,1147.0,856947
Montour,Pennsylvania,1173,25.0,18115
Northampton,Pennsylvania,16648,431.0,312855
Northumberland,Pennsylvania,4836,226.0,91471
Perry,Pennsylvania,1721,33.0,45821
Philadelphia,Pennsylvania,93885,2473.0,1601005
Pike,Pennsylvania,1440,33.0,58591
Potter,Pennsylvania,583,14.0,16356
Schuylkill,Pennsylvania,7817,245.0,142777
Snyder,Pennsylvania,1894,43.0,39717
Somerset,Pennsylvania,4849,81.0,73917
Sullivan,Pennsylvania,146,3.0,5838
Susquehanna,Pennsylvania,1028,39.0,38354
Tioga,Pennsylvania,1913,58.0,40969
Union,Pennsylvania,2891,42.0,42625
Venango,Pennsylvania,2354,47.0,50275
Warren,Pennsylvania,1474,28.0,38480
Washington,Pennsylvania,8947,131.0,209157
Wayne,Pennsylvania,1829,18.0,51101
Westmoreland,Pennsylvania,19333,423.0,353998
Wyoming,Pennsylvania,787,29.0,26001
York,Pennsylvania,23283,419.0,456389
Adjuntas,Puerto Rico,396,,
Aguada,Puerto Rico,889,,
Aguadilla,Puerto Rico,1226,,
Aguas Buenas,Puerto Rico,829,,
Aibonito,Puerto Rico,442,,
Anasco,Puerto Rico,675,,
Arecibo,Puerto Rico,2321,,
Arroyo,Puerto Rico,309,,
Barceloneta,Puerto Rico,607,,
Barranquitas,Puerto Rico,993,,
Bayamon,Puerto Rico,8062,,
Cabo Rojo,Puerto Rico,757,,
Caguas,Puerto Rico,4504,,
Camuy,Puerto Rico,922,,
Canovanas,Puerto Rico,1444,,
Carolina,Puerto Rico,6494,,
Catano,Puerto Rico,999,,
Cayey,Puerto Rico,1050,,
Ceiba,Puerto Rico,320,,
Ciales,Puerto Rico,600,,
Cidra,Puerto Rico,957,,
Coamo,Puerto Rico,743,,
Comerio,Puerto Rico,607,,
Corozal,Puerto Rico,1402,,
Culebra,Puerto Rico,28,,
Dorado,Puerto Rico,1864,,
Fajardo,Puerto Rico,1038,,
Florida,Puerto Rico,625,,
Guanica,Puerto Rico,223,,
Guayama,Puerto Rico,669,,
Guayanilla,Puerto Rico,349,,
Guaynabo,Puerto Rico,3589,,
Gurabo,Puerto Rico,1452,,
Hatillo,Puerto Rico,877,,
Hormigueros,Puerto Rico,345,,
Humacao,Puerto Rico,1322,,
Isabela,Puerto Rico,932,,
Jayuya,Puerto Rico,373,,
Juana Diaz,Puerto Rico,827,,
Juncos,Puerto Rico,1380,,
Lajas,Puerto Rico,324,,
Lares,Puerto Rico,743,,
Las Marias,Puerto Rico,175,,
Las Piedras,Puerto Rico,1118,,
Loiza,Puerto Rico,773,,
Luquillo,Puerto Rico,504,,
Manati,Puerto Rico,1347,,
Maricao,Puerto Rico,100,,
Maunabo,Puerto Rico,278,,
Mayaguez,Puerto Rico,1570,,
Moca,Puerto Rico,1112,,
Morovis,Puerto Rico,1085,,
Naguabo,Puerto Rico,634,,
Naranjito,Puerto Rico,1320,,
Orocovis,Puerto Rico,656,,
Patillas,Puerto Rico,318,,
Penuelas,Puerto Rico,395,,
Ponce,Puerto Rico,2253,,
Quebradillas,Puerto Rico,576,,
Rincon,Puerto Rico,340,,
Rio Grande,Puerto Rico,1382,,
Sabana Grande,Puerto Rico,328,,
Salinas,Puerto Rico,899,,
San German,Puerto Rico,491,,
San Juan,Puerto Rico,15250,,
San Lorenzo,Puerto Rico,1217,,
San Sebastian,Puerto Rico,1448,,
Santa Isabel,Puerto Rico,457,,
Toa Alta,Puerto Rico,3020,,
Toa Baja,Puerto Rico,3208,,
Trujillo Alto,Puerto Rico,2412,,
Unknown,Puerto Rico,3875,1503.0,
Utuado,Puerto Rico,721,,
Vega Alta,Puerto Rico,1557,,
Vega Baja,Puerto Rico,2203,,
Vieques,Puerto Rico,179,,
Villalba,Puerto Rico,579,,
Yabucoa,Puerto Rico,740,,
Yauco,Puerto Rico,878,,
Bristol,Rhode Island,2403,54.0,50750
Kent,Rhode Island,9901,194.0,170323
Newport,Rhode Island,2595,9.0,85388
Providence,Rhode Island,58946,1347.0,660015
Unknown,Rhode Island,9622,60.0,
Washington,Rhode Island,4482,113.0,129753
Abbeville,South Carolina,1275,25.0,24212
Aiken,South Carolina,9156,133.0,169032
Allendale,South Carolina,511,9.0,7990
Anderson,South Carolina,12054,280.0,204032
Bamberg,South Carolina,957,40.0,13251
Barnwell,South Carolina,1455,30.0,20567
Beaufort,South Carolina,9586,105.0,187691
Berkeley,South Carolina,9153,111.0,231568
Calhoun,South Carolina,807,20.0,14125
Charleston,South Carolina,24202,321.0,409418
Cherokee,South Carolina,3035,79.0,56179
Chester,South Carolina,2247,45.0,32276
Chesterfield,South Carolina,2336,61.0,43258
Clarendon,South Carolina,1830,74.0,31093
Colleton,South Carolina,1951,55.0,38543
Darlington,South Carolina,4546,94.0,62833
Dillon,South Carolina,2376,59.0,28284
Dorchester,South Carolina,8354,128.0,161975
Edgefield,South Carolina,1551,26.0,25675
Fairfield,South Carolina,1364,53.0,20858
Florence,South Carolina,10494,259.0,136805
Georgetown,South Carolina,3930,79.0,63440
Greenville,South Carolina,37327,502.0,526980
Greenwood,South Carolina,4248,93.0,69380
Hampton,South Carolina,1099,36.0,18512
Horry,South Carolina,20336,317.0,353498
Jasper,South Carolina,1347,25.0,29073
Kershaw,South Carolina,3911,75.0,65536
Lancaster,South Carolina,5234,84.0,96652
Laurens,South Carolina,3609,81.0,67551
Lee,South Carolina,1194,42.0,16458
Lexington,South Carolina,16734,269.0,294891
Marion,South Carolina,1946,63.0,29043
Marlboro,South Carolina,1916,27.0,26537
McCormick,South Carolina,473,9.0,9513
Newberry,South Carolina,2822,71.0,37715
Oconee,South Carolina,5241,62.0,78638
Orangeburg,South Carolina,5105,147.0,83958
Pickens,South Carolina,10203,153.0,131602
Richland,South Carolina,26344,335.0,416527
Saluda,South Carolina,1001,28.0,18830
Spartanburg,South Carolina,19756,392.0,329364
Sumter,South Carolina,5519,117.0,105417
Union,South Carolina,1551,41.0,27148
Williamsburg,South Carolina,2213,61.0,30902
York,South Carolina,15208,180.0,283899
Aurora,South Dakota,414,8.0,2733
Beadle,South Dakota,2509,35.0,19146
Bennett,South Dakota,355,8.0,3386
Bon Homme,South Dakota,1477,23.0,6979
Brookings,South Dakota,2981,30.0,34339
Brown,South Dakota,4426,60.0,38210
Brule,South Dakota,627,7.0,5263
Buffalo,South Dakota,410,10.0,1944
Butte,South Dakota,881,18.0,10249
Campbell,South Dakota,115,4.0,1374
Charles Mix,South Dakota,1112,11.0,9351
Clark,South Dakota,313,2.0,3850
Clay,South Dakota,1625,12.0,14998
Codington,South Dakota,3452,70.0,28309
Corson,South Dakota,449,10.0,3893
Custer,South Dakota,672,9.0,8328
Davison,South Dakota,2718,54.0,19936
Day,South Dakota,537,20.0,5425
Deuel,South Dakota,412,7.0,4299
Dewey,South Dakota,1263,12.0,5226
Douglas,South Dakota,382,7.0,2824
Edmunds,South Dakota,369,4.0,3977
Fall River,South Dakota,454,12.0,6964
Faulk,South Dakota,313,12.0,2128
Grant,South Dakota,826,35.0,7532
Gregory,South Dakota,482,26.0,3994
Haakon,South Dakota,233,7.0,1869
Hamlin,South Dakota,606,34.0,6167
Hand,South Dakota,312,2.0,3130
Hanson,South Dakota,311,3.0,3461
Harding,South Dakota,89,1.0,1317
Hughes,South Dakota,2023,25.0,17704
Hutchinson,South Dakota,700,16.0,7411
Hyde,South Dakota,132,1.0,1258
